adim; gercek_irtifa; olculen_irtifa; output; hedef
0;10.5873;-0.831531;105.873;100
1;15.5384;9.63287;49.5113;100
2;20.8967;15.0413;53.583;100
3;26.2626;21.5905;53.6584;100
4;31.7777;27.0216;55.1509;100
5;37.331;32.7187;55.5334;100
6;42.9878;37.6506;56.5676;100
7;48.6714;42.7123;56.8362;100
8;54.3087;48.2914;56.3734;100
9;59.7504;55.2741;54.4165;100
10;65.2964;59.7347;55.4606;100
11;70.7535;64.6238;54.5705;100
12;76.0075;70.57;52.5403;100
13;81.1446;75.9167;51.371;100
14;86.2242;80.1575;50.7957;100
15;90.996;86.0526;47.7183;100
16;95.7045;90.1268;47.0853;100
17;100.046;96.0304;43.4172;100
18;104.378;99.128;43.3151;100
19;108.37;103.879;39.9191;100
20;112.085;108.588;37.1563;100
21;115.597;112.365;35.1156;100
22;118.955;115.031;33.5859;100
23;121.894;119.584;29.3874;100
24;124.699;122.098;28.0446;100
25;127.342;123.782;26.4286;100
26;129.538;127.702;21.9651;100
27;131.509;130.399;19.7084;100
28;133.33;131.663;18.2099;100
29;134.886;133.276;15.5649;100
30;136.192;134.846;13.0596;100
31;137.349;135.359;11.5633;100
32;138.115;137.637;7.65965;100
33;138.666;138.97;5.51785;100
34;139.184;138.07;5.18023;100
35;139.415;138.567;2.3051;100
36;139.334;139.933;-0.808897;100
37;139.287;138.355;-0.465515;100
38;138.861;139.397;-4.26715;100
39;138.276;139.527;-5.85227;100
40;137.673;137.874;-6.02699;100
41;136.825;137.615;-8.47597;100
42;135.871;136.718;-9.54434;100
43;134.797;135.676;-10.7352;100
44;133.677;133.924;-11.1999;100
45;132.418;132.799;-12.5908;100
46;130.986;132.346;-14.3179;100
47;129.509;131.025;-14.7743;100
48;128.04;128.837;-14.6885;100
49;126.385;128.194;-16.5496;100
50;124.819;125.697;-15.6588;100
51;105.23;104.461;4.10606;100
52;104.383;106.116;-8.47277;100
53;103.74;104.661;-6.42431;100
54;103.194;102.828;-5.45907;100
55;102.549;102.771;-6.45807;100
56;101.957;102.093;-5.91261;100
57;101.353;101.791;-6.03975;100
58;100.673;102.287;-6.80098;100
59;100.249;99.9745;-4.23873;100
60;99.759;99.5075;-4.9035;100
61;99.2467;99.5173;-5.12279;100
62;98.8267;98.6662;-4.2;100
63;98.2693;99.6331;-5.5742;100
64;97.977;97.5859;-2.92276;100
65;97.5093;98.3968;-4.67712;100
66;97.1148;98.1615;-3.94444;100
67;96.7645;97.7169;-3.50332;100
68;96.4403;97.3649;-3.24193;100
69;96.3073;95.502;-1.33009;100
70;95.9656;96.8163;-3.4167;100
71;95.7321;96.5642;-2.33558;100
72;95.6204;95.4465;-1.11633;100
73;95.5148;95.0743;-1.05667;100
74;95.3872;95.3403;-1.27578;100
